,Game,Simulation Seed,Experiment Seed,SGDL Hash,Win,Move Count,Exhausted,Card Usage,Pile Usage,Timestamp
0,Paesid,6841376,527293744,320951984,False,11,True,0.0,0.0,1780714778
1,Paesid,7180258,527293744,320951984,False,11,True,0.0,0.0,1780714778
2,Paesid,1925286,527293744,320951984,False,11,True,0.0,0.0,1780714778
3,Paesid,1838793,527293744,320951984,False,11,True,0.0,0.0,1780714778
4,Paesid,8791432,527293744,320951984,False,11,True,0.0,0.0,1780714778
5,Paesid,7295608,527293744,320951984,False,11,True,0.0,0.0,1780714778
6,Paesid,6211748,527293744,320951984,False,11,True,0.0,0.0,1780714778
7,Paesid,6507870,527293744,320951984,False,11,True,0.0,0.0,1780714778
8,Paesid,8454289,527293744,320951984,False,11,True,0.0,0.0,1780714778
9,Paesid,5489165,527293744,320951984,False,35,True,0.0,0.0,1780714778
10,Ixik,6841376,527293744,393640163,True,45,False,0.9038461538461539,1.0,1780714780
11,Ixik,7180258,527293744,393640163,True,45,False,0.9038461538461539,1.0,1780714780
12,Ixik,1925286,527293744,393640163,True,45,False,0.9038461538461539,1.0,1780714780
13,Ixik,1838793,527293744,393640163,True,45,False,0.9038461538461539,1.0,1780714780
14,Ixik,8791432,527293744,393640163,True,45,False,0.9038461538461539,1.0,1780714780
15,Ixik,7295608,527293744,393640163,True,45,False,0.9038461538461539,1.0,1780714780
16,Ixik,6211748,527293744,393640163,True,45,False,0.9038461538461539,1.0,1780714780
17,Ixik,6507870,527293744,393640163,True,45,False,0.9038461538461539,1.0,1780714780
18,Ixik,8454289,527293744,393640163,True,45,False,0.9038461538461539,1.0,1780714780
19,Ixik,5489165,527293744,393640163,True,45,False,0.9038461538461539,1.0,1780714780
20,Ifaek,6841376,527293744,376739357,False,1000,True,0.21153846153846154,0.3076923076923077,1780714791
21,Ifaek,7180258,527293744,376739357,False,1000,True,0.25,0.3076923076923077,1780714791
22,Ifaek,1925286,527293744,376739357,False,160,True,0.0,0.0,1780714791
23,Ifaek,1838793,527293744,376739357,False,1000,True,0.25,0.3076923076923077,1780714791
24,Ifaek,8791432,527293744,376739357,False,1000,True,0.21153846153846154,0.3076923076923077,1780714791
25,Ifaek,7295608,527293744,376739357,False,1000,True,0.3076923076923077,0.3076923076923077,1780714791
26,Ifaek,6211748,527293744,376739357,False,1000,True,0.3269230769230769,0.3076923076923077,1780714791
27,Ifaek,6507870,527293744,376739357,False,1000,True,0.25,0.3076923076923077,1780714791
28,Ifaek,8454289,527293744,376739357,False,1000,True,0.2692307692307692,0.3076923076923077,1780714791
29,Ifaek,5489165,527293744,376739357,False,1000,True,0.25,0.3076923076923077,1780714791
30,Asu,6841376,527293744,763157335,False,1000,True,0.8846153846153846,1.0,1780714869
31,Asu,7180258,527293744,763157335,False,1000,True,0.8461538461538461,1.0,1780714869
32,Asu,1925286,527293744,763157335,False,1000,True,0.8846153846153846,1.0,1780714869
33,Asu,1838793,527293744,763157335,False,1000,True,0.8846153846153846,1.0,1780714869
34,Asu,8791432,527293744,763157335,False,1000,True,0.8846153846153846,1.0,1780714869
35,Asu,7295608,527293744,763157335,False,1000,True,0.8461538461538461,1.0,1780714869
36,Asu,6211748,527293744,763157335,False,1000,True,0.8461538461538461,1.0,1780714869
37,Asu,6507870,527293744,763157335,False,1000,True,0.8846153846153846,1.0,1780714869
38,Asu,8454289,527293744,763157335,False,1000,True,0.8846153846153846,1.0,1780714869
39,Asu,5489165,527293744,763157335,False,1000,True,0.8461538461538461,1.0,1780714869
40,Ucoul,6841376,527293744,438036430,True,121,False,0.9807692307692307,1.0,1780714872
41,Ucoul,7180258,527293744,438036430,True,111,False,0.9903846153846154,1.0,1780714872
42,Ucoul,1925286,527293744,438036430,True,113,False,0.9807692307692307,1.0,1780714872
43,Ucoul,1838793,527293744,438036430,True,111,False,0.9807692307692307,1.0,1780714872
44,Ucoul,8791432,527293744,438036430,True,110,False,0.9807692307692307,1.0,1780714872
45,Ucoul,7295608,527293744,438036430,True,119,False,1.0,1.0,1780714872
46,Ucoul,6211748,527293744,438036430,True,112,False,1.0,1.0,1780714872
47,Ucoul,6507870,527293744,438036430,True,108,False,0.9807692307692307,1.0,1780714872
48,Ucoul,8454289,527293744,438036430,True,118,False,1.0,1.0,1780714872
49,Ucoul,5489165,527293744,438036430,True,109,False,0.9807692307692307,1.0,1780714872
50,Luha,6841376,527293744,271289555,True,4,False,0.3269230769230769,0.08333333333333333,1780714873
51,Luha,7180258,527293744,271289555,True,4,False,0.3269230769230769,0.08333333333333333,1780714873
52,Luha,1925286,527293744,271289555,True,4,False,0.3269230769230769,0.08333333333333333,1780714873
53,Luha,1838793,527293744,271289555,True,4,False,0.3269230769230769,0.08333333333333333,1780714873
54,Luha,8791432,527293744,271289555,True,4,False,0.3269230769230769,0.08333333333333333,1780714873
55,Luha,7295608,527293744,271289555,True,4,False,0.3269230769230769,0.08333333333333333,1780714873
56,Luha,6211748,527293744,271289555,True,4,False,0.3269230769230769,0.08333333333333333,1780714873
57,Luha,6507870,527293744,271289555,True,4,False,0.3269230769230769,0.08333333333333333,1780714873
58,Luha,8454289,527293744,271289555,True,4,False,0.3269230769230769,0.08333333333333333,1780714873
59,Luha,5489165,527293744,271289555,True,4,False,0.3269230769230769,0.08333333333333333,1780714873
60,Ovo,6841376,527293744,969985964,True,25,False,0.9230769230769231,1.0,1780714875
61,Ovo,7180258,527293744,969985964,True,25,False,0.9230769230769231,1.0,1780714875
62,Ovo,1925286,527293744,969985964,True,25,False,0.9230769230769231,1.0,1780714875
63,Ovo,1838793,527293744,969985964,True,25,False,0.9230769230769231,1.0,1780714875
64,Ovo,8791432,527293744,969985964,True,25,False,0.9230769230769231,1.0,1780714875
65,Ovo,7295608,527293744,969985964,True,25,False,0.9230769230769231,1.0,1780714875
66,Ovo,6211748,527293744,969985964,True,25,False,0.9230769230769231,1.0,1780714875
67,Ovo,6507870,527293744,969985964,True,25,False,0.9230769230769231,1.0,1780714875
68,Ovo,8454289,527293744,969985964,True,25,False,0.9230769230769231,1.0,1780714875
69,Ovo,5489165,527293744,969985964,True,25,False,0.9230769230769231,1.0,1780714875
70,Caizu,6841376,527293744,802024574,False,84,True,0.0,0.0,1780714876
71,Caizu,7180258,527293744,802024574,False,84,True,0.0,0.0,1780714876
72,Caizu,1925286,527293744,802024574,False,84,True,0.0,0.0,1780714876
73,Caizu,1838793,527293744,802024574,False,84,True,0.0,0.0,1780714876
74,Caizu,8791432,527293744,802024574,False,84,True,0.0,0.0,1780714876
75,Caizu,7295608,527293744,802024574,False,84,True,0.0,0.0,1780714876
76,Caizu,6211748,527293744,802024574,False,84,True,0.0,0.0,1780714876
77,Caizu,6507870,527293744,802024574,False,84,True,0.0,0.0,1780714876
78,Caizu,8454289,527293744,802024574,False,84,True,0.0,0.0,1780714876
79,Caizu,5489165,527293744,802024574,False,84,True,0.0,0.0,1780714876
80,Ilo,6841376,527293744,34505648,True,52,False,0.9807692307692307,1.0,1780714879
81,Ilo,7180258,527293744,34505648,True,52,False,0.9807692307692307,1.0,1780714879
82,Ilo,1925286,527293744,34505648,True,52,False,0.9807692307692307,1.0,1780714879
83,Ilo,1838793,527293744,34505648,True,52,False,0.9807692307692307,1.0,1780714879
84,Ilo,8791432,527293744,34505648,True,52,False,0.9807692307692307,1.0,1780714879
85,Ilo,7295608,527293744,34505648,True,52,False,0.9807692307692307,1.0,1780714879
86,Ilo,6211748,527293744,34505648,True,52,False,0.9807692307692307,1.0,1780714879
87,Ilo,6507870,527293744,34505648,True,52,False,0.9711538461538461,1.0,1780714879
88,Ilo,8454289,527293744,34505648,True,52,False,0.9807692307692307,1.0,1780714879
89,Ilo,5489165,527293744,34505648,True,52,False,0.9807692307692307,1.0,1780714879
90,Upeg,6841376,527293744,935346517,False,1000,True,0.38461538461538464,0.8181818181818182,1780714904
91,Upeg,7180258,527293744,935346517,False,1000,True,0.40384615384615385,0.8181818181818182,1780714904
92,Upeg,1925286,527293744,935346517,False,1000,True,0.36538461538461536,0.7272727272727273,1780714904
93,Upeg,1838793,527293744,935346517,False,1000,True,0.38461538461538464,0.9090909090909091,1780714904
94,Upeg,8791432,527293744,935346517,False,1000,True,0.3269230769230769,0.45454545454545453,1780714904
95,Upeg,7295608,527293744,935346517,False,1000,True,0.40384615384615385,0.9090909090909091,1780714904
96,Upeg,6211748,527293744,935346517,False,1000,True,0.34615384615384615,0.7272727272727273,1780714904
97,Upeg,6507870,527293744,935346517,False,1000,True,0.38461538461538464,0.8181818181818182,1780714904
98,Upeg,8454289,527293744,935346517,False,1000,True,0.38461538461538464,0.9090909090909091,1780714904
99,Upeg,5489165,527293744,935346517,False,1000,True,0.36538461538461536,0.8181818181818182,1780714904
